T,2
u,25
" ",66
n,25
',8
e,33
s,24
c,3
o,23
r,16
p,11
m,10
i,22
q,4
t,16
g,2
a,18
à,2
b,7
l,11
ç,2
.,7
E,2
j,1
d,7
J,2
M,1
",",2
v,1
